Code	Author	Title	Publisher	Date
D.05	Dilson, J.	The Abacus	St Martin's	1968
D.06	Dilworth, T.	The Schoolmaster's Assistant	Millar	1793
D.07	D?rrie, H.	100 Great Prob's of Elem. Mathematics	Dover 	1965
D.08	Dudeney, H.	536 Puzzles & Curious Problems	Scribner's	1967
D.09	Dudeney, H.	Amusements in Mathematics	Dover 	1958
D.10	Dudeney, H.	The Canterbury Puzzles	Dover	1958
D.11	Duncum, A. & Gresty, A.	Logic Problems	British European	1986
D.12	Dunn, A.	Mathematical Bafflers	Dover 	1980
D.13	Dunn, A.	Second Book of Mathematical Bafflers	Dover	1983
E.01	Emmet, E.	101 Brain Puzzlers	Barnes & Noble	1970
E.02	Emmet, E.	Puzzles for Pleasure	Bell	1972
F.01	Fadiman, C.	Fantasia Mathematica	Simon & Schuster	1958
F.02	Fadiman, C.	The Mathematical Magpie	Simon & Schuster	1962
F.03	Fish, D.	Robinson's Progressive Practical Arithmetic	Ivison et al.	1876
F.04	Fixx, J.	Games for the Super-Intelligent	Popular Library	1972
F.05	Fixx, J.	More Games for the Super-Intelligent	Popular Library	1977
F.06	Fixx, J.	Solve It!	Fred. Muller Ltd.	1979
F.07	Friedland, A.	Puzzles in Math & Logic	Dover	1970
F.08	Frohlichstein, J	Math. Fun, Games, & Puzzles	Dover	1967
F.09	Fulves, K.	Self-Working Number Magic	Dover 	1983
F.10	Fults, J.	Magic Squares	Open Court	1974
F.11	Fusaro, B., ed.	Environmental Mathematics in the Classroom	M.A.A.	2003
G.01	Games Magazine editors	Big Book of Games	Workman 	1984
G.02	Games Magazine editors	Big Book of Games II	Workman 	1988
G.03	Gardner, M.	aha! Insight	Scientific Amer.	1978
G.04	Gardner, M.	Mathematical Carnival	Knopf	1975
G.05	Gardner, M.	Mathematical Circus	Vintage 	1981
G.06	Gardner, M.	Mathematical Puzzles & Diversions	Simon & Schuster	1959
G.07	Gardner, M.	Mathematical Puzzles of Sam Loyd	Dover	1959
G.08	Gardner, M.	More Mathematical Puzzles of Sam Loyd	Dover	1960
G.09	Gamow, G. & Stern, M.	Puzzle-Math	Viking	1963
G.10	Graham, L.	Ingenious Math. Prob's & Methods	Dover 	1959
G.11	Graham, L.	The Surprise Attack in Math. Prob's	Dover	1968
G.12	Greenleaf, B.	The Complete Arithmetic, Oral and Written	Davis	1881
G.13	Grosswirth, M. et al.	The Mensa Genius Quiz Book	Addison-Wesley	1981
H.01	Haber, P.	Peter Pauper's Puzzles & Posers	Peter Pauper Press	1963
